#Time		Tcp throughput		Tcp delay		Number of Lost Pkts		Number of Tx Pkts
8049		9229.52		29.1549		0		15491
8099		9234.98		29.1546		0		15595
8149		9240.37		29.1543		0		15697
8199		9245.16		29.1538		0		15775
8249		9245.32		29.1527		0		15897
8299		9245.48		29.1514		0		16019
8349		9245.64		29.1503		0		16141
8399		9245.79		29.1491		0		16263
8449		9245.95		29.1482		0		16385
8499		9246.1		29.1516		0		16505
8549		9276.02		29.1525		0		16609
8599		9280.84		29.1522		0		16711
8649		9285.59		29.152		0		16815
8699		9290.27		29.1517		0		16917
8749		9294.42		29.1513		0		16995
8799		9294.27		29.1502		0		17117
8849		9294.13		29.1491		0		17239
8899		9293.99		29.148		0		17361
8949		9293.84		29.147		0		17483
8999		9293.7		29.1461		0		17605
9049		9293.56		29.1493		0		17725
9099		9321.39		29.1501		0		17829
9149		9325.61		29.1499		0		17931
9199		9329.77		29.1497		0		18035
9249		9333.88		29.1495		0		18137
9299		9337.51		29.1491		0		18215
9349		9337.12		29.1481		0		18337
9399		9336.75		29.147		0		18459
9449		9336.37		29.1461		0		18581
9500		9336.97		29.1452		0		18703
9550		9336.6		29.1443		0		18825
9600		9336.23		29.1462		0		18945
9650		9361.27		29.1481		0		19049
9700		9365		29.1479		0		19151
9750		9368.68		29.1477		0		19255
9800		9372.32		29.1475		0		19357
9850		9376.43		29.1473		0		19435
9900		9375.87		29.1464		0		19557
9950		9375.31		29.1454		0		19679
10000		9374.75		29.1445		0		19801
10050		9374.2		29.1436		0		19923
10100		9373.66		29.1427		0		20045
10150		9373.12		29.1445		0		20165
10200		9396.62		29.1463		0		20269
10250		9399.93		29.1461		0		20371
10300		9403.21		29.1459		0		20475
10350		9406.45		29.1458		0		20577
10400		9410.15		29.1456		0		20655
10450		9409.44		29.1447		0		20777
10500		9408.74		29.1438		0		20899
10550		9408.05		29.143		0		21021
10600		9407.37		29.1421		0		21143
10650		9406.69		29.1413		0		21265
10700		9406.02		29.143		0		21385
10750		9428.15		29.1447		0		21489
10800		9431.12		29.1445		0		21591
10850		9434.05		29.1444		0		21695
10900		9436.96		29.1442		0		21797
10950		9440.31		29.144		0		21875
11000		9439.49		29.1433		0		21997
11050		9438.69		29.1424		0		22119
11100		9437.89		29.1416		0		22241
11150		9437.1		29.1408		0		22363
11200		9436.32		29.14		0		22485
11250		9435.54		29.1417		0		22605
11300		9456.46		29.1432		0		22709
11350		9459.13		29.1431		0		22811
