#AppRate	MeanTx_1	Goodput(MeanRx)_1	TcpDelay_1	ul pdcp delay		ul rlc delay		lostPkt_1  MeanTx_2	Goodput(MeanRx)_2	TcpDelay_2	dl pdcp delay		dl rlc delay		lostPkt_2		UlTx		UlRx	DlTx	DlRx
13410   1.28018	3.82623	85.8934	65.8766		1.58903		125	0.132947	0.129697	36.8336	16.8326		0.158194		0	7256472	6855372	13918965		13918965		0	0	0	0
14510   1.28018	3.82623	85.8934	65.8766		1.58903		125	0.132947	0.129697	36.8336	16.8326		0.158194		0	7256472	6855372	13918965		13918965		0	0	0	0
15610   1.28018	3.82623	85.8934	65.8766		1.58903		125	0.132947	0.129697	36.8336	16.8326		0.158194		0	7256472	6855372	13918965		13918965		0	0	0	0
16710   1.28018	3.82623	85.8934	65.8766		1.58903		125	0.132947	0.129697	36.8336	16.8326		0.158194		0	7256472	6855372	13918965		13918965		0	0	0	0
17810   1.28018	3.82623	85.8934	65.8766		1.58903		125	0.132947	0.129697	36.8336	16.8326		0.158194		0	7256472	6855372	13918965		13918965		0	0	0	0
18910   1.28018	3.82623	85.8934	65.8766		1.58903		125	0.132947	0.129697	36.8336	16.8326		0.158194		0	7256472	6855372	13918965		13918965		0	0	0	0
20010   1.28018	3.82623	85.8934	65.8766		1.58903		125	0.132947	0.129697	36.8336	16.8326		0.158194		0	7256472	6855372	13918965		13918965		0	0	0	0
21110   1.28018	3.82623	85.8934	65.8766		1.58903		125	0.132947	0.129697	36.8336	16.8326		0.158194		0	7256472	6855372	13918965		13918965		0	0	0	0
22210   1.28018	3.82623	85.8934	65.8766		1.58903		125	0.132947	0.129697	36.8336	16.8326		0.158194		0	7256472	6855372	13918965		13918965		0	0	0	0
23310   1.28018	3.82623	85.8934	65.8766		1.58903		125	0.132947	0.129697	36.8336	16.8326		0.158194		0	7256472	6855372	13918965		13918965		0	0	0	0
24410   1.28018	3.82623	85.8934	65.8766		1.58903		125	0.132947	0.129697	36.8336	16.8326		0.158194		0	7256472	6855372	13918965		13918965		0	0	0	0
25510   1.28018	3.82623	85.8934	65.8766		1.58903		125	0.132947	0.129697	36.8336	16.8326		0.158194		0	7256472	6855372	13918965		13918965		0	0	0	0
26610   1.28018	3.82623	85.8934	65.8766		1.58903		125	0.132947	0.129697	36.8336	16.8326		0.158194		0	7256472	6855372	13918965		13918965		0	0	0	0
27710   1.28018	3.82623	85.8934	65.8766		1.58903		125	0.132947	0.129697	36.8336	16.8326		0.158194		0	7256472	6855372	13918965		13918965		0	0	0	0
28810   1.28018	3.82623	85.8934	65.8766		1.58903		125	0.132947	0.129697	36.8336	16.8326		0.158194		0	7256472	6855372	13918965		13918965		0	0	0	0
29910   1.28018	3.82623	85.8934	65.8766		1.58903		125	0.132947	0.129697	36.8336	16.8326		0.158194		0	7256472	6855372	13918965		13918965		0	0	0	0
31010   1.28018	3.82623	85.8934	65.8766		1.58903		125	0.132947	0.129697	36.8336	16.8326		0.158194		0	7256472	6855372	13918965		13918965		0	0	0	0
32110   1.28018	3.82623	85.8934	65.8766		1.58903		125	0.132947	0.129697	36.8336	16.8326		0.158194		0	7256472	6855372	13918965		13918965		0	0	0	0
33210   1.28018	3.82623	85.8934	65.8766		1.58903		125	0.132947	0.129697	36.8336	16.8326		0.158194		0	7256472	6855372	13918965		13918965		0	0	0	0
34310   1.28018	3.82623	85.8934	65.8766		1.58903		125	0.132947	0.129697	36.8336	16.8326		0.158194		0	7256472	6855372	13918965		13918965		0	0	0	0
35410   1.28018	3.82623	85.8934	65.8766		1.58903		125	0.132947	0.129697	36.8336	16.8326		0.158194		0	7256472	6855372	13918965		13918965		0	0	0	0
36510   1.28018	3.82623	85.8934	65.8766		1.58903		125	0.132947	0.129697	36.8336	16.8326		0.158194		0	7256472	6855372	13918965		13918965		0	0	0	0
37610   1.28018	3.82623	85.8934	65.8766		1.58903		125	0.132947	0.129697	36.8336	16.8326		0.158194		0	7256472	6855372	13918965		13918965		0	0	0	0
38710   1.28018	3.82623	85.8934	65.8766		1.58903		125	0.132947	0.129697	36.8336	16.8326		0.158194		0	7256472	6855372	13918965		13918965		0	0	0	0
