#AppRate	MeanTx_1	Goodput(MeanRx)_1	TcpDelay_1	ul pdcp delay		ul rlc delay		lostPkt_1  MeanTx_2	Goodput(MeanRx)_2	TcpDelay_2	dl pdcp delay		dl rlc delay		lostPkt_2		UlTx		UlRx	DlTx	DlRx
17810   9.46585	9.46504	31.8125	11.7954		4.71428		0	0.32867	0.32867	23.0553	3.05431		3		0	30786144	24448764	46793565		46793565
18910   9.46585	9.46504	31.8125	11.7954		4.71428		0	0.32867	0.32867	23.0553	3.05431		3		0	30786144	24448764	46793565		46793565
20010   9.46585	9.46504	31.8125	11.7954		4.71428		0	0.32867	0.32867	23.0553	3.05431		3		0	30786144	24448764	46793565		46793565
21110   9.46585	9.46504	31.8125	11.7954		4.71428		0	0.32867	0.32867	23.0553	3.05431		3		0	30786144	24448764	46793565		46793565
22210   9.46585	9.46504	31.8125	11.7954		4.71428		0	0.32867	0.32867	23.0553	3.05431		3		0	30786144	24448764	46793565		46793565
23310   9.46585	9.46504	31.8125	11.7954		4.71428		0	0.32867	0.32867	23.0553	3.05431		3		0	30786144	24448764	46793565		46793565
24410   9.46585	9.46504	31.8125	11.7954		4.71428		0	0.32867	0.32867	23.0553	3.05431		3		0	30786144	24448764	46793565		46793565
25510   9.46585	9.46504	31.8125	11.7954		4.71428		0	0.32867	0.32867	23.0553	3.05431		3		0	30786144	24448764	46793565		46793565
26610   9.46585	9.46504	31.8125	11.7954		4.71428		0	0.32867	0.32867	23.0553	3.05431		3		0	30786144	24448764	46793565		46793565
27710   9.46585	9.46504	31.8125	11.7954		4.71428		0	0.32867	0.32867	23.0553	3.05431		3		0	30786144	24448764	46793565		46793565
28810   9.46585	9.46504	31.8125	11.7954		4.71428		0	0.32867	0.32867	23.0553	3.05431		3		0	30786144	24448764	46793565		46793565
29910   9.46585	9.46504	31.8125	11.7954		4.71428		0	0.32867	0.32867	23.0553	3.05431		3		0	30786144	24448764	46793565		46793565
31010   9.46585	9.46504	31.8125	11.7954		4.71428		0	0.32867	0.32867	23.0553	3.05431		3		0	30786144	24448764	46793565		46793565
32110   9.46585	9.46504	31.8125	11.7954		4.71428		0	0.32867	0.32867	23.0553	3.05431		3		0	30786144	24448764	46793565		46793565
33210   9.46585	9.46504	31.8125	11.7954		4.71428		0	0.32867	0.32867	23.0553	3.05431		3		0	30786144	24448764	46793565		46793565
34310   9.46585	9.46504	31.8125	11.7954		4.71428		0	0.32867	0.32867	23.0553	3.05431		3		0	30786144	24448764	46793565		46793565
35410   9.46585	9.46504	31.8125	11.7954		4.71428		0	0.32867	0.32867	23.0553	3.05431		3		0	30786144	24448764	46793565		46793565
36510   9.46585	9.46504	31.8125	11.7954		4.71428		0	0.32867	0.32867	23.0553	3.05431		3		0	30786144	24448764	46793565		46793565
37610   9.46585	9.46504	31.8125	11.7954		4.71428		0	0.32867	0.32867	23.0553	3.05431		3		0	30786144	24448764	46793565		46793565
38710   9.46585	9.46504	31.8125	11.7954		4.71428		0	0.32867	0.32867	23.0553	3.05431		3		0	30786144	24448764	46793565		46793565
39810   9.46585	9.46504	31.8125	11.7954		4.71428		0	0.32867	0.32867	23.0553	3.05431		3		0	30786144	24448764	46793565		46793565
40910   9.46585	9.46504	31.8125	11.7954		4.71428		0	0.32867	0.32867	23.0553	3.05431		3		0	30786144	24448764	46793565		46793565
42010   9.46585	9.46504	31.8125	11.7954		4.71428		0	0.32867	0.32867	23.0553	3.05431		3		0	30786144	24448764	46793565		46793565
43110   9.46585	9.46504	31.8125	11.7954		4.71428		0	0.32867	0.32867	23.0553	3.05431		3		0	30786144	24448764	46793565		46793565
44210   9.46585	9.46504	31.8125	11.7954		4.71428		0	0.32867	0.32867	23.0553	3.05431		3		0	30786144	24448764	46793565		46793565
45310   9.46585	9.46504	31.8125	11.7954		4.71428		0	0.32867	0.32867	23.0553	3.05431		3		0	30786144	24448764	46793565		46793565
46410   9.46585	9.46504	31.8125	11.7954		4.71428		0	0.32867	0.32867	23.0553	3.05431		3		0	30786144	24448764	46793565		46793565
47510   9.46585	9.46504	31.8125	11.7954		4.71428		0	0.32867	0.32867	23.0553	3.05431		3		0	30786144	24448764	46793565		46793565
48610   9.46585	9.46504	31.8125	11.7954		4.71428		0	0.32867	0.32867	23.0553	3.05431		3		0	30786144	24448764	46793565		46793565
49710   9.46585	9.46504	31.8125	11.7954		4.71428		0	0.32867	0.32867	23.0553	3.05431		3		0	30786144	24448764	46793565		46793565
