% time	cellId	IMSI	RNTI	rsrp	sinr
0.0222143	1	1	1	6.60185e-17	1043.84
0.0222143	1	1	1	6.60185e-17	1043.84
0.0242143	1	1	1	6.60185e-17	1043.84
0.0242143	1	1	1	6.60185e-17	1043.84
0.0262143	1	1	1	6.60185e-17	1043.84
0.0262143	1	1	1	6.60185e-17	1043.84
0.0282143	1	1	1	6.60185e-17	1043.84
0.0282143	1	1	1	6.60185e-17	1043.84
0.0302143	1	1	1	6.60185e-17	1043.84
0.0302143	1	1	1	6.60185e-17	1043.84
0.0322143	1	1	1	6.60185e-17	1043.84
0.0322143	1	1	1	6.60185e-17	1043.84
0.0342143	1	1	1	6.60185e-17	1043.84
0.0342143	1	1	1	6.60185e-17	1043.84
0.0362143	1	1	1	6.60185e-17	1043.84
0.0362143	1	1	1	6.60185e-17	1043.84
0.0382143	1	1	1	6.60185e-17	1043.84
0.0382143	1	1	1	6.60185e-17	1043.84
0.0402143	1	1	1	6.60185e-17	1043.84
0.0402143	1	1	1	6.60185e-17	1043.84
0.0422143	1	1	1	6.60185e-17	1043.84
0.0422143	1	1	1	6.60185e-17	1043.84
0.0442143	1	1	1	6.60185e-17	1043.84
0.0442143	1	1	1	6.60185e-17	1043.84
0.0462143	1	1	1	6.60185e-17	1043.84
0.0462143	1	1	1	6.60185e-17	1043.84
0.0482143	1	1	1	6.60185e-17	1043.84
0.0482143	1	1	1	6.60185e-17	1043.84
0.0502143	1	1	1	6.60185e-17	1043.84
0.0502143	1	1	1	6.60185e-17	1043.84
0.0522143	1	1	1	6.60185e-17	1043.84
0.0522143	1	1	1	6.60185e-17	1043.84
0.0542143	1	1	1	6.60185e-17	1043.84
0.0542143	1	1	1	6.60185e-17	1043.84
0.0562143	1	1	1	6.60185e-17	1043.84
0.0562143	1	1	1	6.60185e-17	1043.84
0.0582143	1	1	1	6.60185e-17	1043.84
0.0582143	1	1	1	6.60185e-17	1043.84
0.0602143	1	1	1	6.60185e-17	1043.84
0.0602143	1	1	1	6.60185e-17	1043.84
0.0622143	1	1	1	6.60185e-17	1043.84
0.0622143	1	1	1	6.60185e-17	1043.84
0.0642143	1	1	1	6.60185e-17	1043.84
0.0642143	1	1	1	6.60185e-17	1043.84
0.0662143	1	1	1	6.60185e-17	1043.84
0.0662143	1	1	1	6.60185e-17	1043.84
0.0682143	1	1	1	6.60185e-17	1043.84
0.0682143	1	1	1	6.60185e-17	1043.84
0.0702143	1	1	1	6.60185e-17	1043.84
0.0702143	1	1	1	6.60185e-17	1043.84
0.0722143	1	1	1	6.60185e-17	1043.84
0.0722143	1	1	1	6.60185e-17	1043.84
0.0742143	1	1	1	6.60185e-17	1043.84
0.0742143	1	1	1	6.60185e-17	1043.84
0.0762143	1	1	1	6.60185e-17	1043.84
0.0762143	1	1	1	6.60185e-17	1043.84
0.0782143	1	1	1	6.60185e-17	1043.84
0.0782143	1	1	1	6.60185e-17	1043.84
0.0802143	1	1	1	6.60185e-17	1043.84
0.0802143	1	1	1	6.60185e-17	1043.84
0.0822143	1	1	1	6.60185e-17	1043.84
0.0822143	1	1	1	6.60185e-17	1043.84
0.0842143	1	1	1	6.60185e-17	1043.84
0.0842143	1	1	1	6.60185e-17	1043.84
0.0862143	1	1	1	6.60185e-17	1043.84
0.0862143	1	1	1	6.60185e-17	1043.84
0.0882143	1	1	1	6.60185e-17	1043.84
0.0882143	1	1	1	6.60185e-17	1043.84
0.0902143	1	1	1	6.60185e-17	1043.84
0.0902143	1	1	1	6.60185e-17	1043.84
0.0922143	1	1	1	6.60185e-17	1043.84
0.0922143	1	1	1	6.60185e-17	1043.84
0.0942143	1	1	1	6.60185e-17	1043.84
0.0942143	1	1	1	6.60185e-17	1043.84
0.0962143	1	1	1	6.60185e-17	1043.84
0.0962143	1	1	1	6.60185e-17	1043.84
0.0982143	1	1	1	6.60185e-17	1043.84
0.0982143	1	1	1	6.60185e-17	1043.84
0.100214	1	1	1	6.60185e-17	1043.84
0.100214	1	1	1	6.60185e-17	1043.84
0.102214	1	1	1	6.60185e-17	1043.84
0.102214	1	1	1	6.60185e-17	1043.84
0.104214	1	1	1	6.60185e-17	1043.84
0.104214	1	1	1	6.60185e-17	1043.84
0.106214	1	1	1	6.60185e-17	1043.84
0.106214	1	1	1	6.60185e-17	1043.84
0.108214	1	1	1	6.60185e-17	1043.84
0.108214	1	1	1	6.60185e-17	1043.84
0.110214	1	1	1	6.60185e-17	1043.84
0.110214	1	1	1	6.60185e-17	1043.84
0.112214	1	1	1	6.60185e-17	1043.84
0.112214	1	1	1	6.60185e-17	1043.84
0.114214	1	1	1	6.60185e-17	1043.84
0.114214	1	1	1	6.60185e-17	1043.84
0.116214	1	1	1	6.60185e-17	1043.84
0.116214	1	1	1	6.60185e-17	1043.84
0.118214	1	1	1	6.60185e-17	1043.84
0.118214	1	1	1	6.60185e-17	1043.84
0.120214	1	1	1	6.60185e-17	1043.84
0.120214	1	1	1	6.60185e-17	1043.84
0.122214	1	1	1	6.60185e-17	1043.84
0.122214	1	1	1	6.60185e-17	1043.84
0.124214	1	1	1	6.60185e-17	1043.84
0.124214	1	1	1	6.60185e-17	1043.84
0.126214	1	1	1	6.60185e-17	1043.84
0.126214	1	1	1	6.60185e-17	1043.84
0.128214	1	1	1	6.60185e-17	1043.84
0.128214	1	1	1	6.60185e-17	1043.84
0.130214	1	1	1	6.60185e-17	1043.84
0.130214	1	1	1	6.60185e-17	1043.84
