% time	cellId	IMSI	RNTI	rsrp	sinr
0.134214	1	1	1	1.30987e-15	20710.9
0.136214	1	1	1	2.05432e-15	32481.7
0.136214	1	1	1	2.05432e-15	32481.7
0.138214	1	1	1	1.86955e-15	29560.1
0.138214	1	1	1	1.86955e-15	29560.1
0.140214	1	1	1	2.79828e-15	44244.7
0.140214	1	1	1	2.79828e-15	44244.7
0.142214	1	1	1	4.67976e-15	73993.5
0.142214	1	1	1	4.67976e-15	73993.5
0.144214	1	1	1	5.26746e-15	83285.8
0.144214	1	1	1	5.26746e-15	83285.8
0.146214	1	1	1	3.49159e-15	55207
0.146214	1	1	1	3.49159e-15	55207
0.148214	1	1	1	9.63252e-16	15230.3
0.148214	1	1	1	9.63252e-16	15230.3
0.150214	1	1	1	1.42498e-15	22530.9
0.150214	1	1	1	1.42498e-15	22530.9
0.152214	1	1	1	2.19044e-15	34633.9
0.152214	1	1	1	2.19044e-15	34633.9
0.154214	1	1	1	2.48166e-15	39238.5
0.154214	1	1	1	2.48166e-15	39238.5
0.156214	1	1	1	3.24177e-15	51256.8
0.156214	1	1	1	3.24177e-15	51256.8
0.158214	1	1	1	4.79307e-15	75785
0.158214	1	1	1	4.79307e-15	75785
0.160214	1	1	1	3.9765e-15	62874
0.160214	1	1	1	3.9765e-15	62874
0.162214	1	1	1	6.23529e-16	9858.86
0.162214	1	1	1	6.23529e-16	9858.86
0.164214	1	1	1	1.95337e-15	30885.4
0.164214	1	1	1	1.95337e-15	30885.4
0.166214	1	1	1	3.85684e-15	60982
0.166214	1	1	1	3.85684e-15	60982
0.168214	1	1	1	2.46742e-15	39013.4
0.168214	1	1	1	2.46742e-15	39013.4
0.170214	1	1	1	1.99039e-15	31470.9
0.170214	1	1	1	1.99039e-15	31470.9
0.172214	1	1	1	1.20475e-15	19048.8
0.172214	1	1	1	1.20475e-15	19048.8
0.174214	1	1	1	1.07368e-15	16976.4
0.174214	1	1	1	1.07368e-15	16976.4
0.176214	1	1	1	2.28026e-15	36054
0.176214	1	1	1	2.28026e-15	36054
0.178214	1	1	1	1.85717e-15	29364.4
0.178214	1	1	1	1.85717e-15	29364.4
0.180214	1	1	1	1.71096e-15	27052.6
0.180214	1	1	1	1.71096e-15	27052.6
0.182214	1	1	1	1.25117e-15	19782.8
0.182214	1	1	1	1.25117e-15	19782.8
0.184214	1	1	1	1.22882e-15	19429.3
0.184214	1	1	1	1.22882e-15	19429.3
0.186214	1	1	1	3.18204e-15	50312.5
0.186214	1	1	1	3.18204e-15	50312.5
0.188214	1	1	1	2.44938e-15	38728.1
0.188214	1	1	1	2.44938e-15	38728.1
0.190214	1	1	1	4.09974e-15	64822.6
0.190214	1	1	1	4.09974e-15	64822.6
0.192214	1	1	1	5.86916e-15	92799.6
0.192214	1	1	1	5.86916e-15	92799.6
0.194214	1	1	1	1.66504e-15	26326.6
0.194214	1	1	1	1.66504e-15	26326.6
0.196214	1	1	1	1.64343e-15	25985
0.196214	1	1	1	1.64343e-15	25985
0.198214	1	1	1	2.5463e-15	40260.6
0.198214	1	1	1	2.5463e-15	40260.6
0.200214	1	1	1	1.70157e-15	26904.1
0.200214	1	1	1	1.70157e-15	26904.1
0.202214	1	1	1	4.47247e-15	70716
0.202214	1	1	1	4.47247e-15	70716
0.204214	1	1	1	3.09112e-15	48874.9
0.204214	1	1	1	3.09112e-15	48874.9
0.206214	1	1	1	1.0119e-15	15999.6
0.206214	1	1	1	1.0119e-15	15999.6
0.208214	1	1	1	2.97032e-15	46964.9
0.208214	1	1	1	2.97032e-15	46964.9
0.210214	1	1	1	2.46205e-15	38928.5
0.210214	1	1	1	2.46205e-15	38928.5
0.212214	1	1	1	1.58234e-15	25018.9
