% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi
1483	1	1	1	0	24	1692	0	1
1484	1	1	1	0	20	1239	0	1
1485	1	1	1	0	10	501	0	1
1486	1	1	1	0	20	1239	0	1
1487	1	1	1	0	26	1908	0	1
1488	1	1	1	0	18	999	0	1
1489	1	1	1	0	28	2292	0	1
1490	1	1	1	0	14	807	0	1
1491	1	1	1	0	28	2292	0	1
1492	1	1	1	0	28	2292	0	1
1493	1	1	1	0	22	1431	0	1
1494	1	1	1	0	20	1239	0	1
1495	1	1	1	0	14	807	0	1
1496	1	1	1	0	26	1908	0	1
1497	1	1	1	0	22	1431	0	1
1498	1	1	1	0	8	437	0	1
1499	1	1	1	0	20	1239	0	1
1501	1	1	1	0	12	621	0	1
1502	1	1	1	0	26	1908	0	1
1525	1	1	1	0	26	1908	0	1
1526	1	1	1	0	26	1908	0	1
1527	1	1	1	0	18	999	0	1
1528	1	1	1	0	18	999	0	1
1529	1	1	1	0	18	999	0	1
1530	1	1	1	0	18	999	0	1
1531	1	1	1	0	18	999	0	1
1532	1	1	1	0	20	1239	0	1
1533	1	1	1	0	26	1908	0	1
1534	1	1	1	0	18	999	0	1
1535	1	1	1	0	28	2292	0	1
1536	1	1	1	0	28	2292	0	1
1537	1	1	1	0	28	2292	0	1
1538	1	1	1	0	26	1908	0	1
1539	1	1	1	0	18	999	0	1
1540	1	1	1	0	18	999	0	1
1541	1	1	1	0	16	967	0	1
1542	1	1	1	0	12	621	0	1
1543	1	1	1	0	12	621	0	1
1544	1	1	1	0	6	325	0	1
1545	1	1	1	0	26	1908	0	1
1546	1	1	1	0	28	2292	0	1
1547	1	1	1	0	28	2292	0	1
1548	1	1	1	0	28	2292	0	1
1549	1	1	1	0	26	1908	0	1
1550	1	1	1	0	14	807	0	1
1551	1	1	1	0	4	225	0	1
1552	1	1	1	0	22	1431	0	1
1553	1	1	1	0	28	2292	0	1
1554	1	1	1	0	26	1908	0	1
1555	1	1	1	0	14	807	0	1
1556	1	1	1	0	22	1431	0	1
1557	1	1	1	0	24	1692	0	1
1558	1	1	1	0	28	2292	0	1
1580	1	1	1	0	22	1431	0	1
1581	1	1	1	0	22	1431	0	1
1582	1	1	1	0	22	1431	0	1
1583	1	1	1	0	22	1431	0	1
1584	1	1	1	0	22	1431	0	1
1585	1	1	1	0	22	1431	0	1
1586	1	1	1	0	22	1431	0	1
1587	1	1	1	0	26	1908	0	1
1588	1	1	1	0	16	967	0	1
1590	1	1	1	0	14	807	0	1
1591	1	1	1	0	22	1431	0	1
1592	1	1	1	0	28	2292	0	1
1593	1	1	1	0	24	1692	0	1
1594	1	1	1	0	20	1239	0	1
1595	1	1	1	0	28	2292	0	1
1596	1	1	1	0	28	2292	0	1
1597	1	1	1	0	8	437	0	1
1598	1	1	1	0	12	621	0	1
1599	1	1	1	0	22	1431	0	1
1600	1	1	1	0	22	1431	0	1
1602	1	1	1	0	28	2292	0	0
1603	1	1	1	0	16	967	0	1
1604	1	1	1	0	18	999	0	1
1605	1	1	1	0	28	2292	0	1
1606	1	1	1	0	28	2292	0	1
1607	1	1	1	0	24	1692	0	1
1608	1	1	1	0	24	1692	0	1
1609	1	1	1	0	24	1692	0	1
1610	1	1	1	0	28	2292	0	1
1611	1	1	1	0	26	1908	0	1
1612	1	1	1	0	22	1431	0	1
1635	1	1	1	0	22	1431	0	1
1636	1	1	1	0	22	1431	0	1
1637	1	1	1	0	22	1431	0	1
1638	1	1	1	0	22	1431	0	1
1639	1	1	1	0	22	1431	0	1
1640	1	1	1	0	22	1431	0	1
1641	1	1	1	0	22	1431	0	1
1642	1	1	1	0	24	1692	0	1
1643	1	1	1	0	14	807	0	1
1644	1	1	1	0	24	1692	0	1
1645	1	1	1	0	28	2292	0	1
1646	1	1	1	0	24	1692	0	1
1647	1	1	1	0	24	1692	0	1
1648	1	1	1	0	6	325	0	1
1649	1	1	1	0	10	501	0	1
1650	1	1	1	0	18	999	0	1
1651	1	1	1	0	20	1239	0	1
1652	1	1	1	0	26	1908	0	1
1653	1	1	1	0	28	2292	0	1
1654	1	1	1	0	18	999	0	1
1655	1	1	1	0	8	437	0	1
1656	1	1	1	0	16	967	0	1
1657	1	1	1	0	24	1692	0	1
1658	1	1	1	0	18	999	0	1
1659	1	1	1	0	12	621	0	1
1660	1	1	1	0	20	1239	0	1
1661	1	1	1	0	18	999	0	1
1662	1	1	1	0	16	967	0	1
1663	1	1	1	0	20	1239	0	1
1664	1	1	1	0	22	1431	0	1
1665	1	1	1	0	16	967	0	1
1667	1	1	1	0	18	999	0	1
1690	1	1	1	0	24	1692	0	1
1691	1	1	1	0	24	1692	0	1
1692	1	1	1	0	24	1692	0	1
1693	1	1	1	0	24	1692	0	1
1694	1	1	1	0	24	1692	0	1
1695	1	1	1	0	24	1692	0	1
1696	1	1	1	0	24	1692	0	1
1697	1	1	1	0	24	1692	0	1
1698	1	1	1	0	24	1692	0	1
1699	1	1	1	0	14	807	0	1
1700	1	1	1	0	20	1239	0	1
1701	1	1	1	0	28	2292	0	1
1702	1	1	1	0	26	1908	0	1
1703	1	1	1	0	20	1239	0	1
1704	1	1	1	0	22	1431	0	1
1705	1	1	1	0	8	437	0	1
1706	1	1	1	0	8	437	0	1
1707	1	1	1	0	12	621	0	1
1708	1	1	1	0	24	1692	0	1
1709	1	1	1	0	28	2292	0	1
1710	1	1	1	0	18	999	0	1
1711	1	1	1	0	24	1692	0	1
1712	1	1	1	0	20	1239	0	1
1713	1	1	1	0	14	807	0	1
1714	1	1	1	0	18	999	0	1
1715	1	1	1	0	18	999	0	1
1716	1	1	1	0	24	1692	0	1
1717	1	1	1	0	26	1908	0	1
1718	1	1	1	0	20	1239	0	1
1719	1	1	1	0	24	1692	0	1
1720	1	1	1	0	28	2292	0	1
1721	1	1	1	0	20	1239	0	1
1722	1	1	1	0	18	999	0	1
1745	1	1	1	0	14	807	0	1
1746	1	1	1	0	14	807	0	1
1747	1	1	1	0	14	807	0	1
1748	1	1	1	0	14	807	0	1
1749	1	1	1	0	14	807	0	1
1750	1	1	1	0	14	807	0	1
1751	1	1	1	0	14	807	0	1
1752	1	1	1	0	16	967	0	1
1754	1	1	1	0	8	437	0	1
1755	1	1	1	0	18	999	0	1
1756	1	1	1	0	18	999	0	1
1757	1	1	1	0	22	1431	0	1
1758	1	1	1	0	28	2292	0	1
1759	1	1	1	0	28	2292	0	1
1760	1	1	1	0	28	2292	0	1
1761	1	1	1	0	22	1431	0	1
1762	1	1	1	0	24	1692	0	1
1763	1	1	1	0	12	621	0	1
1764	1	1	1	0	18	999	0	1
1765	1	1	1	0	12	621	0	1
1766	1	1	1	0	18	999	0	1
1767	1	1	1	0	28	2292	0	0
1768	1	1	1	0	14	807	0	1
1769	1	1	1	0	10	501	0	1
1770	1	1	1	0	24	1692	0	1
1771	1	1	1	0	18	999	0	1
1772	1	1	1	0	18	999	0	1
1773	1	1	1	0	10	501	0	1
1774	1	1	1	0	10	501	0	1
1775	1	1	1	0	14	807	0	1
1776	1	1	1	0	20	1239	0	1
1777	1	1	1	0	18	999	0	1
1778	1	1	1	0	24	1692	0	1
1800	1	1	1	0	24	1692	0	1
1801	1	1	1	0	24	1692	0	1
1802	1	1	1	0	24	1692	0	1
1803	1	1	1	0	24	1692	0	1
1804	1	1	1	0	24	1692	0	1
1805	1	1	1	0	24	1692	0	1
1806	1	1	1	0	24	1692	0	1
1807	1	1	1	0	28	2292	0	1
1808	1	1	1	0	18	999	0	1
1809	1	1	1	0	4	225	0	1
1810	1	1	1	0	22	1431	0	1
1811	1	1	1	0	24	1692	0	1
1812	1	1	1	0	20	1239	0	1
