% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi
3185	1	1	1	0	26	7708	0	1
3186	1	1	1	0	26	7708	0	1
3247	1	1	1	0	4	903	0	1
3248	1	1	1	0	4	903	0	1
3367	1	1	1	0	2	573	0	1
3368	1	1	1	0	2	573	0	1
3369	1	1	1	0	2	573	0	1
3422	1	1	1	0	14	3182	0	1
3423	1	1	1	0	14	3182	0	1
3424	1	1	1	0	14	3182	0	1
3425	1	1	1	0	14	3182	0	1
3426	1	1	1	0	14	3182	0	1
3427	1	1	1	0	14	3182	0	1
3477	1	1	1	0	18	4107	0	1
3478	1	1	1	0	18	4107	0	1
3479	1	1	1	0	18	4107	0	1
3480	1	1	1	0	18	4107	0	1
3481	1	1	1	0	18	4107	0	1
3532	1	1	1	0	12	2481	0	1
3533	1	1	1	0	12	2481	0	1
3534	1	1	1	0	12	2481	0	1
3535	1	1	1	0	12	2481	0	1
3536	1	1	1	0	12	2481	0	1
3537	1	1	1	0	12	2481	0	1
3538	1	1	1	0	12	2481	0	1
3539	1	1	1	0	18	4107	0	1
3587	1	1	1	0	8	1764	0	1
3588	1	1	1	0	8	1764	0	1
3589	1	1	1	0	8	1764	0	1
3590	1	1	1	0	8	1764	0	1
3591	1	1	1	0	8	1764	0	1
3592	1	1	1	0	8	1764	0	1
3593	1	1	1	0	8	1764	0	1
3607	1	1	1	0	10	1980	0	1
3642	1	1	1	0	10	1980	0	1
3643	1	1	1	0	10	1980	0	1
3644	1	1	1	0	10	1980	0	1
3645	1	1	1	0	10	1980	0	1
3646	1	1	1	0	10	1980	0	1
3697	1	1	1	0	24	6882	0	1
3698	1	1	1	0	24	6882	0	1
3699	1	1	1	0	24	6882	0	1
3700	1	1	1	0	24	6882	0	1
3701	1	1	1	0	24	6882	0	1
3752	1	1	1	0	18	4107	0	1
3753	1	1	1	0	18	4107	0	1
3754	1	1	1	0	18	4107	0	1
3755	1	1	1	0	18	4107	0	1
3756	1	1	1	0	18	4107	0	1
3807	1	1	1	0	18	4107	0	1
3808	1	1	1	0	18	4107	0	1
3809	1	1	1	0	18	4107	0	1
3810	1	1	1	0	18	4107	0	1
3811	1	1	1	0	18	4107	0	1
3862	1	1	1	0	14	3182	0	1
3863	1	1	1	0	14	3182	0	1
3864	1	1	1	0	14	3182	0	1
3865	1	1	1	0	14	3182	0	1
3866	1	1	1	0	14	3182	0	1
3917	1	1	1	0	8	1764	0	1
3918	1	1	1	0	8	1764	0	1
3919	1	1	1	0	8	1764	0	1
3920	1	1	1	0	8	1764	0	1
3921	1	1	1	0	8	1764	0	1
3922	1	1	1	0	8	1764	0	1
3923	1	1	1	0	8	1764	0	1
3924	1	1	1	0	14	3182	0	1
3925	1	1	1	0	14	3182	0	1
3926	1	1	1	0	14	3182	0	1
3927	1	1	1	0	14	3182	0	1
3928	1	1	1	0	14	3182	0	1
3929	1	1	1	0	14	3182	0	1
3930	1	1	1	0	14	3182	0	1
3972	1	1	1	0	14	3182	0	1
3973	1	1	1	0	14	3182	0	1
3974	1	1	1	0	14	3182	0	1
3975	1	1	1	0	14	3182	0	1
3976	1	1	1	0	14	3182	0	1
3977	1	1	1	0	14	3182	0	1
3978	1	1	1	0	14	3182	0	1
4027	1	1	1	0	4	903	0	1
4028	1	1	1	0	4	903	0	1
4029	1	1	1	0	4	903	0	1
4030	1	1	1	0	4	903	0	1
4031	1	1	1	0	4	903	0	1
4032	1	1	1	0	4	903	0	1
4033	1	1	1	0	4	903	0	1
4082	1	1	1	0	8	1764	0	1
4083	1	1	1	0	8	1764	0	1
4084	1	1	1	0	8	1764	0	1
4085	1	1	1	0	8	1764	0	1
4086	1	1	1	0	8	1764	0	1
4087	1	1	1	0	26	7708	0	1
4137	1	1	1	0	16	3822	0	1
4138	1	1	1	0	16	3822	0	1
4139	1	1	1	0	16	3822	0	1
4140	1	1	1	0	16	3822	0	1
4141	1	1	1	0	16	3822	0	1
4192	1	1	1	0	6	1287	0	1
4193	1	1	1	0	6	1287	0	1
4194	1	1	1	0	6	1287	0	1
4195	1	1	1	0	6	1287	0	1
4196	1	1	1	0	6	1287	0	1
4197	1	1	1	0	6	1287	0	1
4247	1	1	1	0	12	2481	0	1
4248	1	1	1	0	12	2481	0	1
4249	1	1	1	0	12	2481	0	1
4250	1	1	1	0	12	2481	0	1
4251	1	1	1	0	12	2481	0	1
4327	1	1	1	0	4	903	0	1
4328	1	1	1	0	4	903	0	1
4329	1	1	1	0	4	903	0	1
4382	1	1	1	0	6	1287	0	1
4383	1	1	1	0	6	1287	0	1
4384	1	1	1	0	6	1287	0	1
4385	1	1	1	0	6	1287	0	1
4386	1	1	1	0	6	1287	0	1
4387	1	1	1	0	6	1287	0	1
4437	1	1	1	0	8	1764	0	1
4438	1	1	1	0	8	1764	0	1
4439	1	1	1	0	8	1764	0	1
4440	1	1	1	0	8	1764	0	1
4441	1	1	1	0	8	1764	0	1
4442	1	1	1	0	8	1764	0	1
4443	1	1	1	0	8	1764	0	1
4492	1	1	1	0	6	1287	0	1
4493	1	1	1	0	6	1287	0	1
4494	1	1	1	0	6	1287	0	1
4495	1	1	1	0	6	1287	0	1
4496	1	1	1	0	6	1287	0	1
4497	1	1	1	0	6	1287	0	1
4498	1	1	1	0	6	1287	0	1
4547	1	1	1	0	18	4107	0	1
4548	1	1	1	0	18	4107	0	1
4549	1	1	1	0	18	4107	0	1
4550	1	1	1	0	18	4107	0	1
4551	1	1	1	0	18	4107	0	1
4552	1	1	1	0	18	4107	0	1
4602	1	1	1	0	0	349	0	1
4603	1	1	1	0	0	349	0	1
4604	1	1	1	0	0	349	0	1
4605	1	1	1	0	0	349	0	1
4606	1	1	1	0	0	349	0	1
4607	1	1	1	0	14	3182	0	1
4657	1	1	1	0	24	6882	0	1
4658	1	1	1	0	24	6882	0	1
4659	1	1	1	0	24	6882	0	1
4660	1	1	1	0	24	6882	0	1
4661	1	1	1	0	24	6882	0	1
4662	1	1	1	0	24	6882	0	1
4712	1	1	1	0	0	349	0	1
4713	1	1	1	0	0	349	0	1
4714	1	1	1	0	0	349	0	1
4715	1	1	1	0	0	349	0	1
